psraid,state,density,pew1f,pew2,pew2os,pew3a,pew3b,pew3c,pew3d,pew4,pew5,pew6,pew7,par2,pew8,pew9,pew10,sex,age,recage,educ,receduc,hisp,race,racethn,inc,income,party,partyln,weight
100809,27,5,2,9, ,1,1,1,2,2,1,2,2,2,1,2,2,2,37,3,5,3,2,1,1,5,2,3,1,4.523809524
100824,48,1,1,4, ,2,2,1,1,2,2,1,1,2,1,2,1,1,66,6,5,3,2,1,1,5,2,3,1,1.857142857
100827,30,1,3,2, ,3,3,3,2,4,2,2,1,2,1,3,1,1,75,6,4,2,2,1,1,3,1,4,9,3.523809524
100836,32,2,1,1, ,1,1,3,1,1,9,2,2,2,2,2,1,2,64,5,6,4,1,1,3,6,3,1, ,3
100837,4,1,1,4, ,2,2,2,2,2,2,1,2,2,2,3,1,2,75,6,7,4,2,1,1,6,3,1, ,1.047619048
100845,27,1,1,2, ,1,3,3,1,3,9,2,9,2,2,3,9,1,68,6,5,3,2,1,1,7,4,4,9,1.476190476
100855,28,2,1,6, ,2,1,3,3,1,1,1,2,2,1,2,2,1,18,1,2,1,2,4,4,4,2,3,1,3.380952381
100856,35,3,1,1, ,2,2,2,2,3,2,2,2,2,2,2,1,1,66,6,3,2,2,1,1,5,2,1, ,4.047619048
100857,16,2,1,1, ,1,1,3,1,2,1,2,2,2,1,2,1,1,54,4,5,3,2,1,1,6,3,1, ,2.142857143
100858,30,1,1,8,MEDICAL HEALTH CARE,1,1,1,2,2,1,2,1,2,2,3,1,2,80,6,7,4,2,1,1,99,9,1, ,1.047619048
100863,6,4,2,4, ,2,1,2,2,2,2,1,1,2,2,3,1,1,34,2,5,3,2,1,1,5,2,3,1,4.380952381
100882,30,1,2,2, ,3,3,3,1,4,9,2,9,2,1,9,1,2,74,6,3,2,2,1,1,9,4,1, ,1.619047619
100888,4,1,1,2, ,2,3,2,2,1,2,2,2,2,2,3,1,2,65,6,7,4,2,1,1,6,3,1, ,1
100889,6,1,1,8,TAKIN TROOPS OUT OF AFGHANISTAN,3,3,3,1,3,2,2,2,1,2,2,9,2,45,4,3,2,1,5,3,6,3,3,9,6.047619048
100891,20,3,1,4, ,2,3,3,3,1,2,2,1,1,9,2,1,2,37,3,6,4,2,1,1,8,4,1, ,2.095238095
100897,17,1,1,2, ,1,2,1,1,1,2,2,2,2,9,2,1,2,54,4,5,3,2,1,1,2,1,1, ,1.666666667
100899,4,1,2,1, ,2,3,1,2,3,2,2,1,2,1,2,1,1,30,2,6,4,1,1,3,5,2,1, ,3.761904762
100905,8,5,4,2, ,3,3,3,3,4,2,1,2,2,1,2,2,2,19,1,5,3,2,2,2,4,2,3,2,4.571428571
100911,6,2,2,2, ,1,1,3,1,3,9,2,9,1,2,2,1,2,30,2,3,2,2,1,1,3,1,2, ,4.666666667
100915,5,3,3,1, ,1,3,1,2,3,9,1,1,2,2,1,1,2,51,4,6,4,2,1,1,8,4,1, ,1.761904762
100921,6,1,2,4, ,2,2,1,1,2,2,1,1,1,2,1,1,1,35,3,3,2,2,1,1,4,2,3,1,4.380952381
100925,48,1,1,2, ,2,3,2,2,2,1,1,2,2,1,2,2,2,44,3,7,4,1,1,3,6,3,3,2,3.428571429
100927,41,1,2,4, ,2,3,3,1,2,1,2,2,2,2,2,2,2,63,5,5,3,2,4,4,1,1,2, ,1.428571429
100929,35,1,2,2, ,2,2,3,1,4,9,2,9,2,2,2,1,2,48,4,3,2,2,1,1,4,2,2, ,3.619047619
100930,29,1,2,4, ,1,3,3,1,2,2,2,9,2,1,1,1,2,68,6,5,3,2,1,1,99,9,3,1,1
100941,53,1,1,4, ,1,2,3,1,1,2,2,1,1,1,1,1,1,49,4,3,2,2,1,1,6,3,3,1,3.476190476
100960,6,3,2,2, ,2,2,3,1,3,9,2,2,2,2,2,1,2,80,6,5,3,2,1,1,5,2,3,9,1.666666667
100962,35,1,2,4, ,1,2,3,2,3,2,2,1,1,2,1,1,2,38,3,6,4,2,1,1,6,3,3,9,2.476190476
100972,30,1,1,2, ,2,2,3,1,3,2,2,2,2,2,2,1,2,50,4,5,3,2,1,1,5,2,2, ,2.285714286
100974,4,1,4,8,ESCAPED CONVICT FROM ARIZONA,2,2,3,1,2,9,2,9,2,2,1,9,2,59,5,3,2,2,1,1,6,3,4,9,2.476190476
100979,6,5,4,1, ,3,3,3,1,4,9,2,9,1,2,4,9,1,24,1,5,3,1,9,3,99,9,9,9,5.80952381
